Image_ID,Image_Path,Label_Path
00054_145,../brain_tumor_classification/data/images/00054_145.jpg,../brain_tumor_classification/data/labels/00054_145.txt
00054_164,../brain_tumor_classification/data/images/00054_164.jpg,../brain_tumor_classification/data/labels/00054_164.txt
00056_129,../brain_tumor_classification/data/images/00056_129.jpg,../brain_tumor_classification/data/labels/00056_129.txt
00056_147,../brain_tumor_classification/data/images/00056_147.jpg,../brain_tumor_classification/data/labels/00056_147.txt
00056_239,../brain_tumor_classification/data/images/00056_239.jpg,../brain_tumor_classification/data/labels/00056_239.txt
00056_92,../brain_tumor_classification/data/images/00056_92.jpg,../brain_tumor_classification/data/labels/00056_92.txt
00058_102,../brain_tumor_classification/data/images/00058_102.jpg,../brain_tumor_classification/data/labels/00058_102.txt
00058_122,../brain_tumor_classification/data/images/00058_122.jpg,../brain_tumor_classification/data/labels/00058_122.txt
00058_141,../brain_tumor_classification/data/images/00058_141.jpg,../brain_tumor_classification/data/labels/00058_141.txt
00058_179,../brain_tumor_classification/data/images/00058_179.jpg,../brain_tumor_classification/data/labels/00058_179.txt
00059_103,../brain_tumor_classification/data/images/00059_103.jpg,../brain_tumor_classification/data/labels/00059_103.txt
00059_122,../brain_tumor_classification/data/images/00059_122.jpg,../brain_tumor_classification/data/labels/00059_122.txt
00059_141,../brain_tumor_classification/data/images/00059_141.jpg,../brain_tumor_classification/data/labels/00059_141.txt
00060_71,../brain_tumor_classification/data/images/00060_71.jpg,../brain_tumor_classification/data/labels/00060_71.txt
00060_72,../brain_tumor_classification/data/images/00060_72.jpg,../brain_tumor_classification/data/labels/00060_72.txt
00061_108,../brain_tumor_classification/data/images/00061_108.jpg,../brain_tumor_classification/data/labels/00061_108.txt
00061_127,../brain_tumor_classification/data/images/00061_127.jpg,../brain_tumor_classification/data/labels/00061_127.txt
00061_146,../brain_tumor_classification/data/images/00061_146.jpg,../brain_tumor_classification/data/labels/00061_146.txt
00061_184,../brain_tumor_classification/data/images/00061_184.jpg,../brain_tumor_classification/data/labels/00061_184.txt
00063_197,../brain_tumor_classification/data/images/00063_197.jpg,../brain_tumor_classification/data/labels/00063_197.txt
00063_217,../brain_tumor_classification/data/images/00063_217.jpg,../brain_tumor_classification/data/labels/00063_217.txt
00064_101,../brain_tumor_classification/data/images/00064_101.jpg,../brain_tumor_classification/data/labels/00064_101.txt
00064_121,../brain_tumor_classification/data/images/00064_121.jpg,../brain_tumor_classification/data/labels/00064_121.txt
00064_140,../brain_tumor_classification/data/images/00064_140.jpg,../brain_tumor_classification/data/labels/00064_140.txt
00066_145,../brain_tumor_classification/data/images/00066_145.jpg,../brain_tumor_classification/data/labels/00066_145.txt
