Image_ID,Image_Path,Label_Path
00165_116,../brain_tumor/data/images/00165_116.jpg,../brain_tumor/data/labels/00165_116.txt
69 (6),../brain_tumor/data/images/69 (6).jpg,../brain_tumor/data/labels/69 (6).txt
00352_93,../brain_tumor/data/images/00352_93.jpg,../brain_tumor/data/labels/00352_93.txt
90,../brain_tumor/data/images/90.jpg,../brain_tumor/data/labels/90.txt
79 (11),../brain_tumor/data/images/79 (11).jpg,../brain_tumor/data/labels/79 (11).txt
75 (6),../brain_tumor/data/images/75 (6).jpg,../brain_tumor/data/labels/75 (6).txt
85 (3),../brain_tumor/data/images/85 (3).jpg,../brain_tumor/data/labels/85 (3).txt
00334_114,../brain_tumor/data/images/00334_114.jpg,../brain_tumor/data/labels/00334_114.txt
76 (5),../brain_tumor/data/images/76 (5).jpg,../brain_tumor/data/labels/76 (5).txt
00271_124,../brain_tumor/data/images/00271_124.jpg,../brain_tumor/data/labels/00271_124.txt
71 (5),../brain_tumor/data/images/71 (5).jpg,../brain_tumor/data/labels/71 (5).txt
75 (5),../brain_tumor/data/images/75 (5).jpg,../brain_tumor/data/labels/75 (5).txt
00305_113,../brain_tumor/data/images/00305_113.jpg,../brain_tumor/data/labels/00305_113.txt
62 (9),../brain_tumor/data/images/62 (9).jpg,../brain_tumor/data/labels/62 (9).txt
67 (4),../brain_tumor/data/images/67 (4).jpg,../brain_tumor/data/labels/67 (4).txt
00183_195,../brain_tumor/data/images/00183_195.jpg,../brain_tumor/data/labels/00183_195.txt
82 (2),../brain_tumor/data/images/82 (2).jpg,../brain_tumor/data/labels/82 (2).txt
89,../brain_tumor/data/images/89.jpg,../brain_tumor/data/labels/89.txt
00296_132,../brain_tumor/data/images/00296_132.jpg,../brain_tumor/data/labels/00296_132.txt
00058_102,../brain_tumor/data/images/00058_102.jpg,../brain_tumor/data/labels/00058_102.txt
00136_103,../brain_tumor/data/images/00136_103.jpg,../brain_tumor/data/labels/00136_103.txt
00121_139,../brain_tumor/data/images/00121_139.jpg,../brain_tumor/data/labels/00121_139.txt
00195_225,../brain_tumor/data/images/00195_225.jpg,../brain_tumor/data/labels/00195_225.txt
00099_137,../brain_tumor/data/images/00099_137.jpg,../brain_tumor/data/labels/00099_137.txt
91 (4),../brain_tumor/data/images/91 (4).jpg,../brain_tumor/data/labels/91 (4).txt
00271_122,../brain_tumor/data/images/00271_122.jpg,../brain_tumor/data/labels/00271_122.txt
73 (5),../brain_tumor/data/images/73 (5).jpg,../brain_tumor/data/labels/73 (5).txt
00187_118,../brain_tumor/data/images/00187_118.jpg,../brain_tumor/data/labels/00187_118.txt
00165_135,../brain_tumor/data/images/00165_135.jpg,../brain_tumor/data/labels/00165_135.txt
